,infuse_oa_lyr_2011,new_labels
1275,E00001317,0
1276,E00001318,0
1277,E00001319,0
1278,E00001320,3
1279,E00001321,0
1280,E00001322,0
1281,E00001323,3
1282,E00001324,3
1283,E00001325,3
1284,E00001326,3
1285,E00001327,4
1286,E00001328,2
1287,E00001329,0
1288,E00001330,2
1289,E00001331,1
1290,E00001332,0
1291,E00001333,4
1292,E00001334,2
1293,E00001335,0
1294,E00001336,2
1295,E00001337,3
1296,E00001338,2
1297,E00001339,4
1298,E00001340,4
1299,E00001341,2
1300,E00001342,4
1301,E00001343,3
1302,E00001344,2
1303,E00001345,2
1304,E00001346,4
1305,E00001347,4
1306,E00001348,2
1307,E00001349,1
1308,E00001350,2
1309,E00001351,3
1310,E00001352,2
1311,E00001353,3
1312,E00001354,2
1313,E00001355,3
1314,E00001356,4
1315,E00001357,0
1316,E00001358,2
1317,E00001359,2
1318,E00001360,2
1319,E00001361,3
1320,E00001362,2
1321,E00001363,1
1322,E00001364,2
1323,E00001365,2
1324,E00001366,1
1325,E00001367,1
1326,E00001368,2
1327,E00001369,4
1328,E00001370,0
1329,E00001371,3
1330,E00001372,3
1331,E00001373,2
1332,E00001374,4
1333,E00001375,1
1334,E00001376,0
1335,E00001377,0
1336,E00001378,0
1337,E00001379,3
1338,E00001380,1
1339,E00001381,2
1340,E00001382,2
1341,E00001383,2
1342,E00001384,3
1343,E00001385,4
1344,E00001386,3
1345,E00001387,3
1346,E00001388,4
1347,E00001389,2
1348,E00001390,0
1349,E00001391,1
1350,E00001392,0
1351,E00001393,2
1352,E00001394,0
1353,E00001395,1
1354,E00001396,0
1355,E00001397,0
1356,E00001398,0
1357,E00001399,0
1358,E00001400,4
1359,E00001401,0
1360,E00001402,4
1361,E00001403,3
1362,E00001404,2
1363,E00001405,3
1364,E00001406,0
1365,E00001407,2
1366,E00001408,1
1367,E00001409,3
1368,E00001410,1
1369,E00001411,3
1370,E00001412,4
1371,E00001413,3
1372,E00001414,0
1373,E00001415,3
1374,E00001416,1
1375,E00001417,1
1376,E00001418,1
1377,E00001419,2
1378,E00001420,2
1379,E00001421,4
1380,E00001422,3
1381,E00001423,2
1382,E00001424,0
1383,E00001425,0
1384,E00001426,1
1385,E00001427,0
1386,E00001428,0
1387,E00001429,4
1388,E00001430,1
1389,E00001431,1
1390,E00001432,2
1391,E00001433,1
1392,E00001434,2
1393,E00001435,4
1394,E00001436,2
1395,E00001437,4
1396,E00001438,4
1397,E00001439,1
1398,E00001440,3
1399,E00001441,0
1400,E00001442,3
1401,E00001443,1
1402,E00001444,2
1403,E00001445,1
1404,E00001446,2
1405,E00001447,0
1406,E00001448,0
1407,E00001449,0
1408,E00001450,1
1409,E00001451,1
1410,E00001452,0
1411,E00001453,1
1412,E00001454,1
1413,E00001455,0
1414,E00001456,0
1415,E00001457,1
1416,E00001458,0
1417,E00001459,3
1418,E00001460,2
1419,E00001462,4
1420,E00001463,0
1421,E00001464,2
1422,E00001465,0
1423,E00001466,4
1424,E00001467,2
1425,E00001468,0
1426,E00001469,0
1427,E00001470,4
1428,E00001471,3
1429,E00001472,4
1430,E00001474,3
1431,E00001475,0
1432,E00001476,0
1433,E00001477,2
1434,E00001478,2
1435,E00001479,0
1436,E00001480,3
1437,E00001481,1
1438,E00001482,3
1439,E00001483,4
1440,E00001484,3
1441,E00001485,1
1442,E00001486,4
1443,E00001487,2
