,index,Agriculture,Green space and recreational land,High density residential with retail and commercial sites,Industrial areas,Large complex buildings various use (travel/recreation/ retail),Low density residential with amenities (suburbs and small villages / hamlets),Medium density residential with high streets and amenities,Principle Transport,Urban centres - mainly commercial/retail with residential pockets,Water,new_labels_0,new_labels_1,new_labels_2,new_labels_3,new_labels_4,new_labels_5,new_labels_6,new_labels_7,new_labels_8,supergroup
153,E00004282,0.0,8700.0,4596.849999999999,0.0,0.0,12873.48,3025.77,8525.09,0.0,0.0,3,5,5,5,3,3,0,4,4,3
154,E00016800,0.0,4324.3,1899.68,56.93,0.0,9455.37,0.0,2735.79,3301.57,0.0,3,1,0,1,0,2,4,3,1,3
155,E00013331,0.0,0.0,0.0,0.0,137.44,37277.25,10565.78,1874.88,0.0,0.0,2,5,2,1,0,1,0,0,2,5
156,E00023010,0.0,4.62,3159.4,0.0,0.0,13775.75,0.0,1852.38,0.0,0.0,0,3,2,0,0,4,3,2,1,3
157,E00006716,0.0,2.8,35046.04,0.0,672.16,600.0,0.0,46162.42,0.0,0.0,1,6,0,0,5,1,3,4,0,2
158,E00018191,0.0,0.0,39038.09,1300.0,1565.1,0.0,0.0,7501.8,2018.6,0.0,3,1,5,0,0,4,0,2,3,3
159,E00017286,0.0,5334.81,19009.29,0.0,0.0,13674.65,1852.67,0.0,0.0,0.0,3,1,5,3,0,4,2,0,3,5
160,E00019938,0.0,0.0,4024.71,643.61,0.0,20302.14,0.0,860.01,4322.94,0.0,1,1,5,0,4,4,0,0,1,3
161,E00006804,0.0,354.43,255.29,13551.94,0.0,0.0,0.0,22143.61,45218.14,0.0,1,0,0,0,0,4,2,4,0,5
162,E00015186,0.0,0.0,116.8,0.0,0.0,0.0,3271.18,0.0,0.0,0.0,1,3,2,3,4,4,0,4,0,3
163,E00016196,0.0,4.52,35091.69,0.0,0.0,0.0,187.15,0.0,0.0,0.0,3,2,3,3,4,1,2,4,4,3
164,E00015094,0.0,0.0,52885.76,0.0,0.0,0.0,66.87,0.0,0.0,0.0,1,4,2,0,4,4,3,4,1,8
165,E00022599,0.0,0.0,144.14,0.0,0.0,0.0,0.0,0.0,22677.61,0.0,5,1,4,0,0,1,2,0,5,8
166,E00009827,0.0,0.0,7790.67,0.0,0.0,1289.45,0.0,1258.11,0.0,0.0,1,6,3,7,0,4,2,0,1,3
167,E00000302,0.0,0.0,347.96000000000004,0.0,0.0,403.99,31976.06,249.34,0.0,0.0,4,6,6,4,3,1,2,4,3,5
168,E00009687,0.0,0.0,88.75,0.0,0.0,0.0,0.0,0.0,15684.48,0.0,5,5,5,5,2,2,2,3,3,3
169,E00011983,0.0,12846.68,2285.38,162189.35,0.0,21138.19,39087.28,10570.9,2469.1200000000003,4635.27,1,6,0,0,1,3,0,2,0,5
170,E00014280,0.0,0.0,0.0,0.0,4477.24,0.0,0.0,5529.63,16060.07,0.0,1,0,0,4,0,4,0,4,0,2
171,E00010705,0.0,27217.51,467.51,489.34,0.0,131011.48,0.0,0.0,6211.86,3359.78,4,4,2,7,3,4,0,1,1,2
